Date,Danone,Carrefour,Nestlé
2020-03-12,44.494754791259766,10.516993522644043,79.0055923461914
2020-03-13,45.218116760253906,11.118574142456055,78.89163970947266
2020-03-16,45.38633346557617,10.98204517364502,78.89163970947266
2020-03-17,48.885353088378906,12.253470420837402,82.24891662597656
2020-03-18,50.29841995239258,12.300402641296387,82.59954833984375
2020-03-19,51.37504577636719,12.326001167297363,87.48206329345703
2020-03-20,49.40684509277344,11.70308780670166,85.88670349121094
2020-03-23,46.967620849609375,11.558027267456055,80.62725067138672
2020-03-24,46.19380187988281,12.146806716918945,82.58201599121094
2020-03-25,47.20313262939453,11.924947738647461,84.68578338623047
2020-03-26,49.25544357299805,12.590527534484863,86.51783752441406
2020-03-27,46.866695404052734,12.155340194702148,85.4133529663086
2020-03-30,48.04424285888672,12.12547492980957,87.48206329345703
2020-03-31,49.322731018066406,12.300402641296387,87.17525482177734
2020-04-01,47.57322692871094,12.151073455810547,87.51712036132812
2020-04-02,47.775089263916016,12.138274192810059,88.60407257080078
2020-04-03,47.53957748413086,12.876383781433105,89.7260971069336
2020-04-06,49.238624572753906,12.948915481567383,91.12860870361328
2020-04-07,49.12086868286133,12.505195617675781,91.07601165771484
2020-04-08,47.94331359863281,12.53506088256836,91.3389892578125
2020-04-09,49.28908920288086,12.134008407592773,89.60337829589844
2020-04-14,51.52644348144531,12.372933387756348,90.69031524658203
2020-04-15,52.14886474609375,12.031612396240234,90.53253936767578
2020-04-16,52.18251037597656,11.873749732971191,91.67208862304688
2020-04-17,53.5114631652832,11.94201374053955,92.9518814086914
2020-04-20,54.335750579833984,12.04440975189209,94.98553466796875
2020-04-21,52.85540008544922,11.622023582458496,91.77726745605469
2020-04-22,52.48530960083008,11.767086029052734,93.09212493896484
2020-04-23,52.09839630126953,11.421497344970703,91.77726745605469
2020-04-24,52.569419860839844,11.366032600402832,93.4076919555664
2020-04-27,53.898380279541016,11.319100379943848,93.7134780883789
2020-04-28,52.45166778564453,11.430030822753906,93.62354278564453
2020-04-29,52.60306930541992,11.856683731079102,92.61626434326172
2020-04-30,53.20866394042969,11.515360832214355,91.64495086669922
2020-05-04,51.72831344604492,11.208170890808105,89.7652816772461
2020-05-05,51.71148681640625,11.33616828918457,91.572998046875
2020-05-06,51.72831344604492,11.024709701538086,92.43639373779297
2020-05-07,52.956329345703125,11.36176586151123,93.33574676513672
2020-05-08,53.88154983520508,11.344700813293457,94.43296813964844
2020-05-11,53.898380279541016,11.314833641052246,94.95459747314453
2020-05-12,53.00679397583008,11.263636589050293,95.49421691894531
2020-05-13,52.45166778564453,10.994844436645508,94.7567367553711
2020-05-14,50.83673095703125,10.92231273651123,92.7601547241211
2020-05-15,51.02177429199219,10.888181686401367,93.4256820678711
2020-05-18,53.0740852355957,10.896714210510254,94.50492095947266
2020-05-19,51.997467041015625,10.636456489562988,94.82868957519531
2020-05-20,52.24979782104492,10.67485523223877,94.36101531982422
2020-05-21,51.52644348144531,10.93084716796875,
2020-05-22,51.45915985107422,11.267901420593262,92.5982666015625
2020-05-25,51.91335678100586,11.242303848266602,93.3717269897461
2020-05-26,51.76195526123047,11.084441184997559,92.25652313232422
2020-05-27,51.72831344604492,11.4556303024292,91.1233139038086
2020-05-28,52.31708526611328,11.391632080078125,92.49034881591797
2020-05-29,51.77878189086914,11.65188980102539,93.40769958496094
2020-06-01,52.06475830078125,11.878015518188477,
2020-06-02,52.24979782104492,11.873749732971191,92.56229400634766
2020-06-03,52.41801834106445,12.364398956298828,93.40769958496094
2020-06-04,52.70399856567383,12.39853286743164,92.41840362548828
2020-06-05,53.4105339050293,12.6843900680542,92.27450561523438
2020-06-08,53.96567153930664,12.645387649536133,93.11990356445312
2020-06-09,53.847904205322266,12.52838134765625,94.7567367553711
2020-06-10,53.4946403503418,12.52838134765625,94.66680145263672
2020-06-11,52.03110885620117,12.108023643493652,93.08393096923828
2020-06-12,51.50962448120117,12.168693542480469,92.45437622070312
2020-06-15,51.2236442565918,12.030019760131836,92.7601547241211
2020-06-16,53.17502212524414,12.307369232177734,94.09121704101562
2020-06-17,53.27595138549805,12.372371673583984,97.0591049194336
2020-06-18,53.4273567199707,12.073354721069336,96.08778381347656
2020-06-19,55.2441520690918,12.225030899047852,96.6813735961914
2020-06-22,53.5114631652832,12.589051246643066,95.85395812988281
2020-06-23,54.251644134521484,12.844732284545898,95.78201293945312
2020-06-24,53.309600830078125,12.402708053588867,94.235107421875
2020-06-25,53.27595138549805,12.372371673583984,94.64881896972656
2020-06-26,53.36006546020508,12.086356163024902,94.46894836425781
2020-06-29,52.232975006103516,12.043020248413086,94.36101531982422
2020-06-30,51.77878189086914,11.921680450439453,94.19913482666016
2020-07-01,51.20682144165039,11.683332443237305,94.66680145263672
2020-07-02,52.569419860839844,12.00835132598877,95.11648559570312
2020-07-03,51.997467041015625,11.752670288085938,94.5408935546875
2020-07-06,51.77878189086914,11.770004272460938,95.3143539428711
2020-07-07,51.52644348144531,11.84367561340332,94.66680145263672
2020-07-08,51.055419921875,11.735336303710938,95.3143539428711
2020-07-09,50.26477813720703,11.475320816040039,94.95459747314453
2020-07-10,51.00495910644531,11.674665451049805,96.37559509277344
2020-07-13,51.6778450012207,11.83934211730957,96.6813735961914
2020-07-14,52.23520278930664,12.190361976623535,96.08778381347656
2020-07-15,52.722896575927734,12.099357604980469,97.90451049804688
2020-07-16,52.461631774902344,12.147026062011719,97.54476165771484
2020-07-17,52.3397102355957,11.969348907470703,97.79658508300781
2020-07-20,52.91448974609375,11.99101734161377,97.63469696044922
2020-07-21,52.98415756225586,11.943347930908203,97.45482635498047
2020-07-22,52.322296142578125,11.852341651916504,98.42613983154297
2020-07-23,53.106082916259766,11.670331954956055,100.08096313476562
2020-07-24,52.89707565307617,11.744003295898438,98.46211242675781
2020-07-27,52.11328125,11.37131404876709,99.36148071289062
2020-07-28,52.04361343383789,11.804673194885254,99.50537109375
2020-07-29,52.47904586791992,11.908679008483887,99.54135131835938
2020-07-30,49.657405853271484,11.522991180419922,98.85783386230469
2020-07-31,49.2393913269043,11.700667381286621,97.22099304199219
2020-08-03,49.48323440551758,11.657331466674805,98.3182144165039
2020-08-04,48.92586898803711,11.748336791992188,98.17431640625
2020-08-05,48.82136535644531,11.856677055358887,96.96916961669922
2020-08-06,48.40334701538086,11.735336303710938,96.59143829345703
2020-08-07,47.532470703125,11.605329513549805,96.84326171875
2020-08-10,47.72406005859375,11.609662055969238,97.04112243652344
2020-08-11,48.40334701538086,11.809006690979004,97.2030029296875
2020-08-12,49.03037643432617,12.155693054199219,98.04840850830078
2020-08-13,49.2393913269043,12.00835132598877,98.10237121582031
2020-08-14,48.873619079589844,11.917346000671387,97.76060485839844
2020-08-17,49.1871337890625,11.856677055358887,98.19230651855469
2020-08-18,49.16971969604492,11.696332931518555,98.01243591308594
2020-08-19,49.378726959228516,11.678998947143555,99.70323181152344
2020-08-20,48.803951263427734,11.405982971191406,98.91179656982422
2020-08-21,48.71685791015625,11.462320327758789,98.92977142333984
2020-08-24,49.047794342041016,11.635663986206055,99.59530639648438
2020-08-25,49.03037643432617,11.639997482299805,98.6779556274414
2020-08-26,48.978126525878906,11.678998947143555,99.43341827392578
2020-08-27,48.978126525878906,11.652997016906738,99.09166717529297
2020-08-28,48.08982849121094,11.652997016906738,97.90451049804688
2020-08-31,47.98531723022461,11.665998458862305,97.63469696044922
2020-09-01,47.4802131652832,11.644330978393555,97.7066421508789
2020-09-02,48.473018646240234,11.744003295898438,98.96575164794922
2020-09-03,49.36131286621094,12.047353744506836,98.33619689941406
2020-09-04,48.92586898803711,12.4070405960083,97.41885375976562
2020-09-07,49.44839859008789,12.37670612335205,97.77859497070312
2020-09-08,49.13488006591797,12.454710006713867,97.3648910522461
2020-09-09,50.145103454589844,12.792729377746582,98.94776916503906
2020-09-10,49.639991760253906,12.775394439697266,98.6419906616211
2020-09-11,49.9012565612793,12.658387184143066,98.91179656982422
2020-09-14,49.93608856201172,12.593384742736816,98.65995788574219
2020-09-15,50.145103454589844,12.190361976623535,98.60601043701172
2020-09-16,50.59794998168945,12.229363441467285,99.16361999511719
2020-09-17,50.24960708618164,11.986682891845703,98.3901596069336
2020-09-18,49.93608856201172,11.639997482299805,97.5087890625
2020-09-21,48.31625747680664,11.561992645263672,97.5087890625
2020-09-22,47.8634033203125,11.82200813293457,98.21028137207031
2020-09-23,47.793731689453125,11.913012504577637,98.0843734741211
2020-09-24,47.37571334838867,11.926013946533203,97.32891082763672
2020-09-25,47.51504898071289,11.869675636291504,98.71393585205078
2020-09-28,48.473018646240234,12.112358093261719,98.82185363769531
2020-09-29,47.9679069519043,11.88701057434082,98.65995788574219
2020-09-30,48.08982849121094,11.84367561340332,98.33619689941406
